Код филиала,Название,"Адрес, строка 1","Адрес, строка 2",Город,Район,Область/край,Страна,Индекс,Основной номер телефона,Веб-сайт,Основная категория,Дополнительные категории,Часы работы,Изображения,Описание,Доп. телефон,Моб. телефон,Ярлыки,"Номер телефона для расширения ""Адреса"" в AdWords"
0432,Ин-Тайм,"ул. Ветеранов, 6",,Апостолово,,Днепропетровская область,UA,00000, (67) 612-02-96,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:17:00,3:08:00:17:00,4:08:00:17:00,5:08:00:17:00,6:08:00:17:00,7:09:00:15:00",,"Апостолово (склад № 1)",0 (800) 30-09-11,,,
0912,Ин-Тайм,"ул. Петрушевича, 4",,Болехов,,Ивано-Франковская область,UA,00000, (67) 610-42-10,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Болехов (склад № 1)",0 (800) 30-09-11,,,
1019,Ин-Тайм,"пер. Богдана Хмельницкого, 19в",,Березань,,Киевская область,UA,00000, (67) 612-03-35,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Березань (склад № 1)",0 (800) 30-09-11,,,
2005,Ин-Тайм,"ул. Железнодорожная, 85",,Чортков,,Тернопольская область,UA,00000, (67) 619-14-71,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Чортков (склад № 1)",0 (800) 30-09-11,,,
1129,Ин-Тайм,"бул. Перова, 23б",,Киев,,Киев,UA,00000, (67) 619-93-44,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Киев Перова (склад № 29 до 30кг)",0 (800) 30-09-11,,,
0317,Ин-Тайм,"ул. Селянская, 25",,Рожище,,Волынская область,UA,00000, (67) 612-01-97,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Рожище (склад № 1)",0 (800) 30-09-11,,,
2421,Ин-Тайм,"пр. Ватутина, 21",,Ватутино,,Черкасская область,UA,00000, (67) 619-14-57,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:09:00:15:00",,"Ватутино (склад № 1)",0 (800) 30-09-11,,,
0611,Ин-Тайм,"ул. Б.Хмельницкого, 34",,Овруч,,Житомирская область,UA,00000, (67) 612-00-18,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Овруч (склад № 1)",0 (800) 30-09-11,,,
2317,Ин-Тайм,"ул. 50лет Октября, 25",,Летичев,,Хмельницкая область,UA,00000, (67) 619-40-79,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Летичев (склад № 1)",0 (800) 30-09-11,,,
1329,Ин-Тайм,"ул. Дружбы Народов, 177",,Меловое,,Луганская область,UA,00000, (67) 610-43-96,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Меловое (склад № 1)",0 (800) 30-09-11,,,
